material_family,thickness,cut_rate,pierce_time
Copper,0.125,10.0,2.0
Copper,0.101,10.0,2.0
Copper,0.091,10.0,2.0
Copper,0.075,10.0,2.0
Copper,0.061,10.0,1.5
Copper,0.049,10.0,1.0
Copper,0.031,10.0,1.0
Copper,0.001,10.0,1.0
Steel,0.5,15.0,5.0
Steel,0.4,20.0,4.0
Steel,0.3,25.0,3.0
Steel,0.25,30.0,2.5
Steel,0.22,30.0,2.5
Steel,0.2,30.0,2.5
Steel,0.189,35.0,2.5
Steel,0.125,40.0,2.5
Steel,0.101,40.0,2.5
Steel,0.091,60.0,2.5
Steel,0.075,70.0,2.5
Steel,0.061,90.0,2.0
Steel,0.049,120.0,1.5
Steel,0.031,170.0,1.5
Steel,0.001,170.0,1.5
Stainless Steel,0.5,15.0,5.0
Stainless Steel,0.4,20.0,4.0
Stainless Steel,0.3,25.0,3.0
Stainless Steel,0.25,30.0,2.5
Stainless Steel,0.22,30.0,2.5
Stainless Steel,0.2,30.0,2.5
Stainless Steel,0.189,35.0,2.5
Stainless Steel,0.159,35.0,2.5
Stainless Steel,0.125,40.0,2.5
Stainless Steel,0.101,40.0,2.5
Stainless Steel,0.091,60.0,2.5
Stainless Steel,0.075,70.0,2.5
Stainless Steel,0.061,90.0,2.0
Stainless Steel,0.049,120.0,1.5
Stainless Steel,0.031,170.0,1.5
Stainless Steel,0.001,170.0,1.5
Aluminum,0.5,10.0,5.0
Aluminum,0.4,12.0,4.0
Aluminum,0.3,15.0,3.0
Aluminum,0.25,20.0,2.0
Aluminum,0.22,20.0,2.0
Aluminum,0.2,20.0,2.0
Aluminum,0.189,20.0,2.0
Aluminum,0.159,20.0,2.0
Aluminum,0.124,20.0,2.0
Aluminum,0.099,30.0,1.5
Aluminum,0.089,30.0,1.5
Aluminum,0.079,45.0,1.5
Aluminum,0.062,60.0,1.5
Aluminum,0.049,120.0,1.5
Aluminum,0.039,120.0,1.0
Aluminum,0.031,120.0,1.0
Aluminum,0.024,120.0,1.0
Aluminum,0.0001,120.0,1.0
