"material","provider","thickness","length","width","display","sheet_cost"
"Stainless Steel 304","online-metals",0.029,30,30,"Stainless Steel 304-L-30.000-W-30.000-T-0.029",328.62
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",290.41
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",218.13
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",267.49
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",267.49
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",245.51
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",236.06
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",267.49
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",246.26
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",381.16
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",271.73
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",246.26
"Stainless Steel 304","online-metals",0.029,30,24,"Stainless Steel 304-L-30.000-W-24.000-T-0.029",246.26
"Brass 260","online-metals",0.75,24,24,"Brass 260-L-24.000-W-24.000-T-0.750",1468.78
"Brass 260","online-metals",0.75,36,12,"Brass 260-L-36.000-W-12.000-T-0.750",1175.01
"Brass 260","online-metals",0.75,24,12,"Brass 260-L-24.000-W-12.000-T-0.750",913.9
"Brass 260","online-metals",0.75,12,12,"Brass 260-L-12.000-W-12.000-T-0.750",473.27
"Brass 260","online-metals",0.75,48,12,"Brass 260-L-48.000-W-12.000-T-0.750",1468.78
"Brass 260","online-metals",0.5,36,24,"Brass 260-L-36.000-W-24.000-T-0.500",1479.22
"Brass 260","online-metals",0.5,24,24,"Brass 260-L-24.000-W-24.000-T-0.500",1008.56
"Brass 260","online-metals",0.5,24,12,"Brass 260-L-24.000-W-12.000-T-0.500",627.53
"Brass 260","online-metals",0.5,12,12,"Brass 260-L-12.000-W-12.000-T-0.500",324.98
"Brass 260","online-metals",0.5,48,12,"Brass 260-L-48.000-W-12.000-T-0.500",1008.56
"Brass 260","online-metals",0.5,36,12,"Brass 260-L-36.000-W-12.000-T-0.500",806.85
"Brass 260","online-metals",0.375,48,24,"Brass 260-L-48.000-W-24.000-T-0.375",1403.49
"Brass 260","online-metals",0.375,36,24,"Brass 260-L-36.000-W-24.000-T-0.375",1077.11
"Brass 260","online-metals",0.375,24,24,"Brass 260-L-24.000-W-24.000-T-0.375",734.39
"Brass 260","online-metals",0.375,12,12,"Brass 260-L-12.000-W-12.000-T-0.375",236.63
"Brass 260","online-metals",0.375,48,12,"Brass 260-L-48.000-W-12.000-T-0.375",734.39
"Brass 260","online-metals",0.375,36,12,"Brass 260-L-36.000-W-12.000-T-0.375",587.53
"Brass 260","online-metals",0.375,24,12,"Brass 260-L-24.000-W-12.000-T-0.375",456.95
"Brass 260","online-metals",0.25,48,36,"Brass 260-L-48.000-W-36.000-T-0.250",1378.36
"Brass 260","online-metals",0.25,36,36,"Brass 260-L-36.000-W-36.000-T-0.250",1084.2
"Brass 260","online-metals",0.25,48,24,"Brass 260-L-48.000-W-24.000-T-0.250",963.73
"Brass 260","online-metals",0.25,36,24,"Brass 260-L-36.000-W-24.000-T-0.250",739.61
"Brass 260","online-metals",0.25,24,24,"Brass 260-L-24.000-W-24.000-T-0.250",504.27
"Brass 260","online-metals",0.25,48,12,"Brass 260-L-48.000-W-12.000-T-0.250",504.27
"Brass 260","online-metals",0.25,24,12,"Brass 260-L-24.000-W-12.000-T-0.250",313.76
"Brass 260","online-metals",0.25,36,12,"Brass 260-L-36.000-W-12.000-T-0.250",403.41
"Brass 260","online-metals",0.25,12,12,"Brass 260-L-12.000-W-12.000-T-0.250",186.41
"Brass 260","online-metals",0.1875,48,36,"Brass 260-L-48.000-W-36.000-T-0.188",971.74
"Brass 260","online-metals",0.1875,36,36,"Brass 260-L-36.000-W-36.000-T-0.188",764.35
"Brass 260","online-metals",0.1875,48,24,"Brass 260-L-48.000-W-24.000-T-0.188",679.42
"Brass 260","online-metals",0.1875,36,24,"Brass 260-L-36.000-W-24.000-T-0.188",521.43
"Brass 260","online-metals",0.1875,24,24,"Brass 260-L-24.000-W-24.000-T-0.188",355.5
"Brass 260","online-metals",0.1875,48,12,"Brass 260-L-48.000-W-12.000-T-0.188",355.5
